Point Latitude,Point Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue_id
35.75667475862068,51.38888884057971,Mollasadra Shopping Center | مرکز خرید ملاصدرا (مرکز خرید ملاصدرا),35.754453218452674,51.39099597930908,Shopping Mall,4e35007efa7656ba316cb788
35.75667475862068,51.38888884057971,Napoli Pizza | پيتزا ناپولى (پيتزا ناپولى),35.756320566584485,51.392916251096665,Italian Restaurant,506c7679e4b0e6ad84ff5abe
35.75667475862068,51.38888884057971,Mollasadra Hall | تالار و مجتمع رفاهی ملاصدرا,35.754720539552984,51.38827938759291,Restaurant,5233494711d2bb3b25e4e041
35.75667475862068,51.38888884057971,Kharazmi Park | بوستان خوارزمي,35.75289746468665,51.39104094439582,Park,5526472d498e56e2b6fcc3cf
35.75667475862068,51.38888884057971,Mollasadra Fruit & Vegetable Store | بازار میوه و تره بار ملاصدرا,35.75413044988906,51.39167627261939,Fruit & Vegetable Store,531f268011d20fc99a32b208
35.7656494137931,51.38888884057971,Cafe train,35.76582235912988,51.39249862196882,Café,5635ef6b498e26546692ec11
35.7656494137931,51.38888884057971,مجموعه ورزشی مهستان,35.763957,51.384125,Gym,571b854b498ea3997fadf6e2
35.7656494137931,51.38888884057971,Khan Daei Restaurant | رستوران خان دایی (رستوران خان دایی),35.76452830435572,51.3917172617484,Persian Restaurant,55475c18498e804debc69526
35.7656494137931,51.38888884057971,Vanak Park Swimming Pool | استخر ونک پارک,35.76760386954381,51.38455480050838,Pool,53722a66498ea16a1fb5290d
35.7656494137931,51.38888884057971,Termeh Traditional Restaurant | رستوران سنتی ترمه,35.76616517335397,51.392682481997554,Restaurant,519904e0498e50037a8f4033
35.747700103448274,51.39638581159421,#B68 | بلاک ۶۸ (بلاک ۶۸),35.744342323309866,51.397859808422695,Gym / Fitness Center,55f42ec3498eaad3a6873e47
35.747700103448274,51.39638581159421,Gileh Gol Restaurant,35.749601,51.398611,Restaurant,5930dc4de65d0c4629ca3edb
35.747700103448274,51.39638581159421,Vitrine (Chef's Kitchen) | آشپزخانه ویترین (آشپزخانه ویترین),35.74446736911913,51.3988186933397,Restaurant,57f3e623498efae5787262a7
35.747700103448274,51.39638581159421,Sara Cake Studio | استودیو کیک سارا (استودیو کیک سارا),35.74488621365182,51.39965110952795,Pastry Shop,54c25d78498e7f0ab6ab536b
35.747700103448274,51.39638581159421,Aknoon Gallery | گالری اکنون (گالری اکنون),35.74490053136541,51.3996033713181,Art Gallery,55033b75498ec719aad05799
35.747700103448274,51.39638581159421,Babylon Café | کافه بابیلون (کافه بابیلون),35.74468023656461,51.3987814375859,Café,57d0258f498eef8d7fd7b005
35.747700103448274,51.39638581159421,Mahtab Café | کافه مهتاب (کافه مهتاب),35.744447320094864,51.39906928734758,Café,53ee3cff498e62022a1f4052
35.747700103448274,51.39638581159421,Fresco | فرسکو (فرسکو),35.744547,51.399346,Burger Joint,5aca249ef4b5250c9059c867
35.747700103448274,51.39638581159421,Valerian,35.749783,51.397966,Café,5ab62e8aa9e40204e3a4b629
35.747700103448274,51.39638581159421,Leon Café | کافه لئون (کافه لئون),35.7443950464535,51.39886942733744,Café,5587154d498e2138f3885199
35.747700103448274,51.39638581159421,Fabrica Café,35.75001047169168,51.39914318919181,Café,5976f981b2958f58e41e95f5
35.747700103448274,51.39638581159421,Andrew Restaurant | رستوران اندرو,35.75063452607198,51.398063438401785,Italian Restaurant,51950a3a498e979a6c198412
35.747700103448274,51.39638581159421,سوپر ماركت ونك پارك,35.749395,51.399001,Supermarket,5b546a6160d11b002c856f5e
35.747700103448274,51.39638581159421,Brillo Kitchen,35.744827,51.399796,Burger Joint,5bf2ffde7e210b00254dbbfb
35.747700103448274,51.39638581159421,Farad Drugstore | داروخانه فاراد,35.7496223449707,51.3998908996582,Pharmacy,558f9347498e512b2f632d4e
35.747700103448274,51.39638581159421,Red Fox | روباه قرمز (روباه قرمز),35.744273,51.399785,Bookstore,5a33c3e60d173f0c5adfb6d0
35.747700103448274,51.39638581159421,A1 Burgers (ساندویچ گریل),35.744405,51.398553,Sandwich Place,57c45091498e806b0e4f5f60
