,name,district,lat,lng
348,شهرک غزالی,21,35.73194691329829,51.16031207121425
349,وردآورد,21,35.73798509952724,51.12987614444789
350,چیتگر,22,35.71795664032223,51.16025263323054
351,دهکده المپیک,22,35.76386134387031,51.253980008686824
352,امید دژبان,22,35.76020009384703,51.2238628125431
353,زیبادشت بالا,22,35.75231589963938,51.26087281913258
354,گلستان شرقی,22,35.75405363624496,51.24720123670577
355,شهرک صدرا,22,35.72895341531984,51.25989783131002
356,گلستان غربی,22,35.75261799333134,51.22740895264342
357,دریاچه,22,35.73600409207139,51.2159057097321
358,شهرک شهید باقری,22,35.76091874569845,51.20202042474633
359,آزادشهر-پیکان شهر,22,35.749334778567096,51.17628920524949
360,شهرک دانشگاه صنعتی شریف,22,35.749567705955144,51.13007678903938
361,علائین,20,35.58232105502623,51.45542143681351
362,تقی آباد,20,35.579508614281885,51.463227955472625
363,عباس آباد,20,35.570707320735245,51.46828429222534
364,بهشتی,20,35.58026935089372,51.420343949566
365, خانی آباد شمالی,19,35.6425114082633,51.38330112287586
366, شریعتی جنوبی,19,35.62096955154962,51.37750449833804
367,شکوفه,19,35.626043737138716,51.36770757528271
368,عبدل آباد,19,35.63508648638736,51.36473604059867
369,دولتخواه جنوبی,19,35.61520368385329,51.34690858117592
370,دولتخواه شمالی,19,35.627168629115594,51.34373580708865
371,شهدای گمنام,14,35.66193989804721,51.484500308156726
372,حسین آباد دولاب (آهنگ غربی),14,35.66417155809576,51.47146899831472
373,سیروس,12,35.67231699127956,51.43331247954805
374,بازار,12,35.6727565909872,51.42258090895607
375,والفجر,6,35.74638964664006,51.39159972039678
376,امیرآباد,6,35.73562116244411,51.39009604033676
